series,slice_index,roi_idx,orientation_deg,delta_hu,mtf50,mtf10,auc,pixel_spacing_mm,nyquist
LR,24,88,171.9415283203125,639.6204223632812,0.10247751865300231,0.1601987822220682,0.13240689907322012,0.3184,1.5703517587939697
LR,32,89,6.531341552734375,426.293420791626,0.14720185123030738,0.3651222759220062,0.2077813688108231,0.3184,1.5703517587939697
LR,32,90,11.793899536132812,203.12689208984375,0.0661661139509787,0.6649845708285536,0.6937175346170238,0.3184,1.5703517587939697
LR,35,91,169.69525146484375,683.3713836669922,0.10379360116138428,0.16054667221436633,0.1396841542255609,0.3184,1.5703517587939697
LR,39,92,12.693534851074219,401.78078842163086,0.19937003662078628,0.5041566815310329,0.2646579474828318,0.3184,1.5703517587939697
LR,40,93,173.03872680664062,422.0398941040039,0.2736878316948821,0.36468050231176363,0.3144718063268571,0.3184,1.5703517587939697
LR,18,94,5.2530059814453125,931.6433153152466,0.2786452534868275,0.5332194262416596,0.3022677049681071,0.3184,1.5703517587939697
LR,32,95,11.310211181640625,414.98055267333984,0.12109407380390351,0.23921168635900666,0.1469050117199899,0.3184,1.5703517587939697
LR,27,96,174.14480590820312,339.9918899536133,0.23047710896426743,0.5670623653959466,0.2674628501094661,0.3184,1.5703517587939697
LR,24,97,11.598724365234375,358.73712158203125,0.1747293879628452,0.5152837858268572,0.2595213386204896,0.3184,1.5703517587939697
LR,16,98,174.10858154296875,761.4796600341797,0.17171441751572802,0.41714204954142564,0.21629253231723813,0.3184,1.5703517587939697
LR,9,99,165.6207733154297,203.58197021484375,0.23175856674595857,0.34313832886856105,0.286098639227345,0.3184,1.5703517587939697
